Описание	№ ООН	Класс	Код	№ опасности	Группа упаковки	Трансп. категория
КАПСЮЛИ-ВОСПЛАМЕНИТЕЛИ	0378	1	1.4B			2
ГИЛЬЗЫ ПАТРОННЫЕ ПУСТЫЕ С КАПСЮЛЯМИ	0379	1	1.4C			2
ИЗДЕЛИЯ ПИРОФОРНЫЕ	0380	1	1.2L			0
ПАТРОНЫ ДЛЯ ЗАПУСКА МЕХАНИЗМОВ	0381	1	1.2C			1
ЭЛЕМЕНТЫ ЦЕПИ ВЗРЫВАНИЯ, Н.У.К.	0382	1	1.2B			1
ЭЛЕМЕНТЫ ЦЕПИ ВЗРЫВАНИЯ, Н.У.К.	0383	1	1.4B			2
ЭЛЕМЕНТЫ ЦЕПИ ВЗРЫВАНИЯ, Н.У.К.	0384	1	1.4S			4
5-НИТРОБЕНЗОТРИАЗОЛ	0385	1	1.1D			1
КИСЛОТА ТРИНИТРОБЕНЗОЛСУЛЬФОНОВАЯ	0386	1	1.1D			1
ТРИНИТРОФТОРЕНОН	0387	1	1.1D			1
ТРИНИТРОТОЛУОЛА (ТНТ) И ТРИНИТРОБЕНЗОЛА СМЕСЬ	0388	1	1.1D			1
ТРИНИТРОТОЛУОЛА (ТНТ) И ГЕКСАНИТРОСТИЛЬБЕНА СМЕСЬ	0388	1	1.1D			1
ТРИНИТРОТОЛУОЛА (ТНТ) СМЕСЬ, СОДЕРЖАЩАЯ ТРИНИТРОБЕНЗОЛ И ГЕКСАНИТРОСТИЛЬБЕН	0389	1	1.1D			1
ТРИТОНАЛ	0390	1	1.1D			1
ЦИКЛОТРИМЕТИЛЕНТРИНИТРАМИНА (ГЕКСОГЕНА; ЦИКЛОНИТА; RDX) И ЦИКЛОТЕТРАМЕТИЛЕНТЕТРАНИТРАМИНА (НМХ; ОКТОГЕН) СМЕСЬ УВЛАЖНЕННАЯ с массовой долей воды не менее 15%	0391	1	1.1D			1
ЦИКЛОТРИМЕТИЛЕНТРИНИТРАМИНА И ЦИКЛОТЕТРАМЕТИЛЕНТЕТРАНИТРАМИНА СМЕСЬ ДЕСЕНСИБИЛИЗИРОВАННАЯ с массовой долей флегматизатора не менее 10%	0391	1	1.1D			1
ГЕКСАНИТРОСТИЛЬБЕН	0392	1	1.1D			1
ГЕКСАТОНАЛ	0393	1	1.1D			1
ТРИНИТРОРЕЗОРЦИН (КИСЛОТА СТИФНИНОВАЯ) УВЛАЖНЕННЫЙ с массовой долей воды или смеси спирта и воды не менее 20%	0394	1	1.1D			1
ДВИГАТЕЛИ РАКЕТНЫЕ ЖИДКОСТНЫЕ, ЗАПРАВЛЕННЫЕ ТОПЛИВОМ	0395	1	1.2J			1
ДВИГАТЕЛИ РАКЕТНЫЕ ЖИДКОСТНЫЕ, ЗАПРАВЛЕННЫЕ ТОПЛИВОМ	0396	1	1.3J			1
РАКЕТЫ, ЗАПРАВЛЕННЫЕ ЖИДКИМ ТОПЛИВОМ, с разрывным зарядом	0397	1	1.1J			1
РАКЕТЫ, ЗАПРАВЛЕННЫЕ ЖИДКИМ ТОПЛИВОМ, с разрывным зарядом	0398	1	1.2J			1
БОМБЫ С ЛЕГКОВОСПЛАМЕНЯЮЩЕЙСЯ ЖИДКОСТЬЮ с разрывным зарядом	0399	1	1.1J			1
БОМБЫ С ЛЕГКОВОСПЛАМЕНЯЮЩЕЙСЯ ЖИДКОСТЬЮ с разрывным зарядом	0400	1	1.2J			1
ДИПИКРИЛСУЛЬФИД сухой или увлажненный с массовой долей воды менее 10%	0401	1	1.1D			1
АММОНИЯ ПЕРХЛОРАТ	0402	1	1.1D			1
РАКЕТЫ ОСВЕТИТЕЛЬНЫЕ АВИАЦИОННЫЕ	0403	1	1.4G			2
РАКЕТЫ ОСВЕТИТЕЛЬНЫЕ АВИАЦИОННЫЕ	0404	1	1.4S			4
ПАТРОНЫ СИГНАЛЬНЫЕ	0405	1	1.4S			4
ДИНИТРОЗОБЕНЗОЛ	0406	1	1.3C			1
КИСЛОТА ТЕТРАЗОЛ-1-УКСУСНАЯ	0407	1	1.4C			2
ТРУБКИ ДЕТОНАЦИОННЫЕ с защитными элементами	0408	1	1.1D			1
ТРУБКИ ДЕТОНАЦИОННЫЕ с защитными элементами	0409	1	1.2D			1
ТРУБКИ ДЕТОНАЦИОННЫЕ с защитными элементами	0410	1	1.4D			2
ПЕНТАЭРИТРИТТЕТРАНИТРАТ (ПЕНТАЭРИТРОЛТЕТРАНИТРАТ; ПЭТН) с массовой долей парафина не менее 7%	0411	1	1.1D			1
ПАТРОНЫ ДЛЯ ОРУЖИЯ с разрывным зарядом	0412	1	1.4E			2
ПАТРОНЫ ДЛЯ ОРУЖИЯ ХОЛОСТЫЕ	0413	1	1.2C			1
ЗАРЯДЫ МЕТАТЕЛЬНЫЕ ДЛЯ ОРУДИЙ	0414	1	1.2C			1
ЗАРЯДЫ МЕТАТЕЛЬНЫЕ	0415	1	1.2C			1
ПАТРОНЫ ДЛЯ ОРУЖИЯ С ИНЕРТНЫМ СНАРЯДОМ	0417	1	1.3C			1
ПАТРОНЫ ДЛЯ СТРЕЛКОВОГО ОРУЖИЯ	0417	1	1.3C			1
РАКЕТЫ ОСВЕТИТЕЛЬНЫЕ, ЗАПУСКАЕМЫЕ С ЗЕМЛИ	0418	1	1.1G			1
РАКЕТЫ ОСВЕТИТЕЛЬНЫЕ, ЗАПУСКАЕМЫЕ С ЗЕМЛИ	0419	1	1.2G			1
РАКЕТЫ ОСВЕТИТЕЛЬНЫЕ АВИАЦИОННЫЕ	0420	1	1.1G			1
РАКЕТЫ ОСВЕТИТЕЛЬНЫЕ АВИАЦИОННЫЕ	0421	1	1.2G			1
СНАРЯДЫ инертные с трассером	0424	1	1.3G			1
СНАРЯДЫ инертные с трассером	0425	1	1.4G			2
СНАРЯДЫ с разрывным или вышибным зарядом	0426	1	1.2F			1
СНАРЯДЫ с разрывным или вышибным зарядом	0427	1	1.4F			2
ИЗДЕЛИЯ ПИРОТЕХНИЧЕСКИЕ для технических целей	0428	1	1.1G			1
ИЗДЕЛИЯ ПИРОТЕХНИЧЕСКИЕ для технических целей	0429	1	1.2G			1
ИЗДЕЛИЯ ПИРОТЕХНИЧЕСКИЕ для технических целей	0430	1	1.3G			1
ИЗДЕЛИЯ ПИРОТЕХНИЧЕСКИЕ для технических целей	0431	1	1.4G			2
ИЗДЕЛИЯ ПИРОТЕХНИЧЕСКИЕ для технических целей	0432	1	1.4S			4
ПОРОХ В БРИКЕТАХ (ПАСТА ПОРОХОВАЯ), УВЛАЖНЕННЫЙ с массовой долей спирта не менее 17%	0433	1	1.1C			1
СНАРЯДЫ с разрывным или вышибным зарядом	0434	1	1.2G			1
СНАРЯДЫ с разрывным или вышибным зарядом	0435	1	1.4G			2
РАКЕТЫ с вышибным зарядом	0436	1	1.2C			1
РАКЕТЫ с вышибным зарядом	0437	1	1.3C			1
РАКЕТЫ с вышибным зарядом	0438	1	1.4C			2
ЗАРЯДЫ КУМУЛЯТИВНЫЕ без детонатора	0439	1	1.2D			1
ЗАРЯДЫ КУМУЛЯТИВНЫЕ без детонатора	0440	1	1.4D			2
ЗАРЯДЫ КУМУЛЯТИВНЫЕ без детонатора	0441	1	1.4S			4
ЗАРЯДЫ ВЗРЫВЧАТЫЕ ПРОМЫШЛЕННЫЕ без детонатора	0442	1	1.1D			1
ЗАРЯДЫ ВЗРЫВЧАТЫЕ ПРОМЫШЛЕННЫЕ без детонатора	0443	1	1.2D			1
ЗАРЯДЫ ВЗРЫВЧАТЫЕ ПРОМЫШЛЕННЫЕ без детонатора	0444	1	1.4D			2
ЗАРЯДЫ ВЗРЫВЧАТЫЕ ПРОМЫШЛЕННЫЕ без детонатора	0445	1	1.4S			4
ГИЛЬЗЫ СГОРАЕМЫЕ ПУСТЫЕ БЕЗ КАПСЮЛЯ	0446	1	1.4C			2
ГИЛЬЗЫ СГОРАЕМЫЕ ПУСТЫЕ БЕЗ КАПСЮЛЯ	0447	1	1.3C			1
КИСЛОТА 5-МЕРКАПТОТЕТРАЗОЛ-1-УКСУСНАЯ	0448	1	1.4C			2
ТОРПЕДЫ С ЖИДКИМ ТОПЛИВОМ, снаряженные или не снаряженные разрывным зарядом	0449	1	1.1J			1
ТОРПЕДЫ С ЖИДКИМ ТОПЛИВОМ с инертной головкой	0450	1	1.3J			1
ТОРПЕДЫ с разрывным зарядом	0451	1	1.1D			1
ГРАНАТЫ ПРАКТИЧЕСКИЕ ручные или ружейные	0452	1	1.4G			2
РАКЕТЫ ТРОСОМЕТАТЕЛЬНЫЕ	0453	1	1.4G			2
ВОСПЛАМЕНИТЕЛИ	0454	1	1.4S			4
ДЕТОНАТОРЫ НЕЭЛЕКТРИЧЕСКИЕ для взрывных работ	0455	1	1.4S			4
ДЕТОНАТОРЫ ЭЛЕКТРИЧЕ СКИЕ для взрывных работ	0456	1	1.4S			4
ЗАРЯДЫ РАЗРЫВНЫЕ ПЛАСТИФИЦИРОВАННЫЕ	0457	1	1.1D			1
ЗАРЯДЫ РАЗРЫВНЫЕ ПЛАСТИФИЦИРОВАННЫЕ	0458	1	1.2D			1
ЗАРЯДЫ РАЗРЫВНЫЕ ПЛАСТИФИЦИРОВАННЫЕ	0459	1	1.4D			2
ЗАРЯДЫ РАЗРЫВНЫЕ ПЛАСТИФИЦИРОВАННЫЕ	0460	1	1.4S			4
ЭЛЕМЕНТЫ ЦЕПИ ВЗРЫВАНИЯ, Н.У.К.	0461	1	1.1B			1
ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.	0462	1	1.1C			1
ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.	0463	1	1.1D			1
ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.	0464	1	1.1E			1
ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.	0465	1	1.1F			1
ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.	0466	1	1.2C			1
ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.	0467	1	1.2D			1
ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.	0468	1	1.2E			1
ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.	0469	1	1.2F			1
ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.	0470	1	1.3C			1
ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.	0471	1	1.4E			2
ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.	0472	1	1.4F			2
ВЗРЫВЧАТЫЕ ВЕЩЕСТВА, Н.У.К.	0473	1	1.1A			0
ВЗРЫВЧАТЫЕ ВЕЩЕСТВА, Н.У.К.	0474	1	1.1C			1
ВЗРЫВЧАТЫЕ ВЕЩЕСТВА, Н.У.К.	0475	1	1.1D			1
ВЗРЫВЧАТЫЕ ВЕЩЕСТВА, Н.У.К.	0476	1	1.1G			1
ВЗРЫВЧАТЫЕ ВЕЩЕСТВА, Н.У.К.	0477	1	1.3C			1
ВЗРЫВЧАТЫЕ ВЕЩЕСТВА, Н.У.К.	0478	1	1.3G			1
ВЗРЫВЧАТЫЕ ВЕЩЕСТВА, Н.У.К.	0479	1	1.4C			2
ВЗРЫВЧАТЫЕ ВЕЩЕСТВА, Н.У.К.	0480	1	1.4D			2
ВЗРЫВЧАТЫЕ ВЕЩЕСТВА, Н.У.К.	0481	1	1.4S			4
ВЗРЫВЧАТЫЕ ВЕЩЕСТВА ОЧЕНЬ НИЗКОЙ ЧУВСТВИТЕЛЬНОСТИ (ВЗРЫВЧАТЫЕ ВЕЩЕСТВА ОНЧ), Н.У.К.	0482	1	1.5D			1
ЦИКЛОТРИМЕТИЛЕНТРИНИТРАМИН (ГЕКСОГЕН; ЦИКЛОНИТ; RDX) ДЕСЕНСИБИЛИЗИРОВАННЫЙ	0483	1	1.1D			1
ЦИКЛОТЕТРАМЕТИЛЕНТЕТРАНИТРАМИН (ОКТОГЕН; НМХ) ДЕСЕНСИБИЛИЗИРОВАННЫЙ	0484	1	1.1D			1
ВЕЩЕСТВА ВЗРЫВЧАТЫЕ, Н.У.К.	0485	1	1.4G			2
ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ ЧРЕЗВЫЧАЙНО НИЗКОЙ ЧУВСТВИТЕЛЬНОСТИ (ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ ЧНЧ)	0486	1	1.6N			2
СИГНАЛЫ ДЫМОВЫЕ	0487	1	1.3G			1
БОЕПРИПАСЫ ПРАКТИЧЕСКИЕ	0488	1	1.3G			1
ДИНИТРОГЛИКОЛЬУРИЛ (ДИНГУ)	0489	1	1.1D			1
НИТРОТРИАЗОЛОН (НТО)	0490	1	1.1D			1
ЗАРЯДЫ МЕТАТЕЛЬНЫЕ	0491	1	1.4C			2
ПЕТАРДЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВЗРЫВЧАТЫЕ	0492	1	1.3G			1
ПЕТАРДЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВЗРЫВЧАТЫЕ	0493	1	1.4G			2
СНАРЯДЫ ПЕРФОРАТОРНЫЕ для нефтескважин без детонатора	0494	1	1.4D			2
ВЗРЫВЧАТОЕ ВЕЩЕСТВО МЕТАТЕЛЬНОЕ ЖИДКОЕ	0495	1	1.3C			1
ОКТОНАЛ	0496	1	1.1D			1
ВЗРЫВЧАТОЕ ВЕЩЕСТВО МЕТАТЕЛЬНОЕ ЖИДКОЕ	0497	1	1.1C			1
ВЗРЫВЧАТОЕ ВЕЩЕСТВО МЕТАТЕЛЬНОЕ ТВЕРДОЕ	0498	1	1.1C			1
ВЗРЫВЧАТОЕ ВЕЩЕСТВО МЕТАТЕЛЬНОЕ ТВЕРДОЕ	0499	1	1.3C			1
СБОРКИ ДЕТОНАТОРОВ НЕЭЛЕКТРИЧЕСКИЕ для взрывных работ	0500	1	1.4S			4
ВЗРЫВЧАТОЕ ВЕЩЕСТВО МЕТАТЕЛЬНОЕ ТВЕРДОЕ	0501	1	1.4C			2
РАКЕТЫ с инертной головкой	0502	1	1.2C			1
УСТРОЙСТВА БЕЗОПАСНОСТИ ПИРОТЕХНИЧЕСКИЕ	0503	1	1.4G			2
1Н-ТЕТРАЗОЛ	0504	1	1.1D			1
СИГНАЛЫ БЕДСТВИЯ судовые	0505	1	1.4G			2
СИГНАЛЫ БЕДСТВИЯ судовые	0506	1	1.4S			4
СИГНАЛЫ ДЫМОВЫЕ	0507	1	1.4S			4
1-ГИДРОКСИБЕНЗОТРИАЗОЛ БЕЗВОДНЫЙ, сухой или увлажненный, с массовой долей воды менее 20%	0508	1	1.3C			1
ПОРОХ БЕЗДЫМНЫЙ	0509	1	1.4C			2
ДВИГАТЕЛИ РАКЕТНЫЕ	0510	1	1.4C			2
АЦЕТИЛЕН РАСТВОРЕННЫЙ	1001	2	4F	239		2
ВОЗДУХ СЖАТЫЙ	1002	2	1A	20		3
ВОЗДУХ ОХЛАЖДЕННЫЙ ЖИДКИЙ	1003	2	3O	225		3
АММИАК БЕЗВОДНЫЙ	1005	2	2TC	268		1
АРГОН СЖАТЫЙ	1006	2	1A	20		3
БОРА ТРИФТОРИД	1008	2	2TC	268		1
БРОМТРИФТОРМЕТАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 13B1)	1009	2	2A	20		3
БУТАДИЕНЫ СТАБИЛИЗИРОВАННЫЕ	1010	2	2F	239		2
БУТАДИЕНОВ И УГЛЕВОДОРОДОВ СМЕСЬ СТАБИЛИЗИРОВАННАЯ, имеющая при 70°С давление паров, не превышающее 1,1 МПа (11 бар), и имеющие при 50°С плотность не менее 0,525 кг/л	1010	2	2F	239		2
БУТАН	1011	2	2F	23		2
БУТИЛЕНОВ СМЕСЬ	1012	2	2F	23		2
1-БУТИЛЕН	1012	2	2F	23		2
цис-2-БУТИЛЕН	1012	2	2F	23		2
транс-2-БУТИЛЕН	1012	2	2F	23		2
УГЛЕРОДА ДИОКСИД	1013	2	2A	20		3
УГЛЕРОДА МОНООКСИД СЖАТЫЙ	1016	2	1TF	263		1
ХЛОР	1017	2	2TOC	265		1
ХЛОРДИФТОРМЕТАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 22)	1018	2	2A	20		3
ХЛОРПЕНТАФТОРЭТАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 115)	1020	2	2A	20		3
1-ХЛОР-1,2,2,2-ТЕТРАФТОРЭТАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 124)	1021	2	2A	20		3
ХЛОРТРИФТОРМЕТАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 13)	1022	2	2A	20		3
ГАЗ КАМЕННОУГОЛЬНЫЙ СЖАТЫЙ	1023	2	1TF	263		1
ЦИАН	1026	2	2TF	263		1
ЦИКЛОПРОПАН	1027	2	2F	23		2
ДИХЛОРДИФТОРМЕТАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 12)	1028	2	2A	20		3
ДИХЛОРФТОРМЕТАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 21)	1029	2	2A	20		3
1,1-ДИФТОРЭТАН (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 152a)	1030	2	2F	23		2
ДИМЕТИЛАМИН БЕЗВОДНЫЙ	1032	2	2F	23		2
ЭФИР ДИМЕТИЛОВЫЙ	1033	2	2F	23		2
ЭТАН	1035	2	2F	23		2
ЭТИЛАМИН	1036	2	2F	23		2
ЭТИЛХЛОРИД	1037	2	2F	23		2
ЭТИЛЕН ОХЛАЖДЕННЫЙ ЖИДКИЙ	1038	2	3F	223		2
ЭФИР ЭТИЛМЕТИЛОВЫЙ	1039	2	2F	23		2
ЭТИЛЕНА ОКСИД	1040	2	2TF	263		1
ЭТИЛЕНА ОКСИД С АЗОТОМ при общем давлении до 1 МПа (10 бар) при температуре 50°С	1040	2	2TF	263		1
ЭТИЛЕНА ОКСИДА И УГЛЕРОДА ДИОКСИДА СМЕСЬ, содержащая более 9%, но не более 87% этилена оксида	1041	2	2F	239		2
УДОБРЕНИЯ АММИАЧНОГО РАСТВОР, содержащий свободный аммиак	1043	2	4A			
ОГНЕТУШИТЕЛИ, содержащие сжатый или сжиженный газ	1044	2	6A			3
ФТОР СЖАТЫЙ	1045	2	1TOC			1
ГЕЛИЙ СЖАТЫЙ	1046	2	1A	20		3
ВОДОРОД БРОМИСТЫЙ БЕЗВОДНЫЙ	1048	2	2TC	268		1
ВОДОРОД СЖАТЫЙ	1049	2	1F	23		2
ВОДОРОД ХЛОРИСТЫЙ БЕЗВОДНЫЙ	1050	2	2TC	268		1
ВОДОРОД ЦИАНИСТЫЙ СТАБИЛИЗИРОВАННЫЙ, содержащий менее 3% воды	1051	43106	TF1		I	0
ВОДОРОД ФТОРИСТЫЙ БЕЗВОДНЫЙ	1052	8	CT1	886	I	1
СЕРОВОДОРОД	1053	2	2TF	263		1
ИЗОБУТИЛЕН	1055	2	2F	23		2
КРИПТОН СЖАТЫЙ	1056	2	1A	20		3
ЗАЖИГАЛКИ	1057	2	6F			2
БАЛЛОНЧИКИ ДЛЯ ЗАПРАВКИ ЗАЖИГАЛОК, содержащие легковоспламеня-ющийся газ	1057	2	6F			2
ГАЗЫ СЖИЖЕННЫЕ невоспла-меняющиеся, содержащие азот, углерода диоксид или воздух	1058	2	2A	20		3
МЕТИЛАЦЕТИЛЕНА И ПРОПАДИЕНА СМЕСЬ СТАБИЛИЗИРОВАННАЯ, такая как смесь Р1 или смесь Р2	1060	2	2F	239		2
МЕТИЛАМИН БЕЗВОДНЫЙ	1061	2	2F	23		2
МЕТИЛ БРОБИД, с содержанием не более 2% хлорпикрина	1062	2	2T	26		1
МЕТИЛХЛОРИД (ГАЗ рефрижераторный R 40)	1063	2	2F	23		2
МЕТИЛМЕРКАПТАН	1064	2	2TF	263		1
НЕОН СЖАТЫЙ	1065	2	1A	20		3
АЗОТ СЖАТЫЙ	1066	2	1A	20		3
ДИАЗОТА ТЕТРАОКСИД (АЗОТА ДИОКСИД)	1067	2	2TOC	265		1
НИТРОЗИЛХЛОРИД	1069	2	2TC			1
АЗОТА ГЕМИОКСИД	1070	2	2O	25		3
ГАЗ НЕФТЯНОЙ СЖАТЫЙ	1071	2	1TF	263		1
КИСЛОРОД СЖАТЫЙ	1072	2	1O	25		3
КИСЛОРОД ОХЛАЖДЕННЫЙ ЖИДКИЙ	1073	2	3O	225		3
ГАЗЫ НЕФТЯНЫЕ СЖИЖЕННЫЕ	1075	2	2F	23		2
ФОСГЕН	1076	2	2TC	268		1
ПРОПИЛЕН	1077	2	2F	23		2
ГАЗ РЕФРИЖЕРАТОРНЫЙ, Н.У.К., такой как смесь F1, смесь F2 или смесь F3	1078	2	2A	20		3
СЕРЫ ДИОКСИД	1079	2	2TC	268		1
СЕРЫ ГЕКСАФТОРИД	1080	2	2A	20		3
ТЕТРАФТОРЭТИЛЕН СТАБИЛИЗИРОВАННЫЙ	1081	2	2F	239		2
ТРИФТОРХЛОРЭТИЛЕН СТАБИЛИЗИРОВАННЫЙ (ГАЗ РЕФРИЖЕРАТОРНЫЙ R 1113)	1082	2	2TF	263		1
ТРИМЕТИЛАМИН БЕЗВОДНЫЙ	1083	2	2F	23		2
ВИНИЛБРОМИД СТАБИЛИЗИРОВАННЫЙ	1085	2	2F	239		2
ВИНИЛХЛОРИД СТАБИЛИЗИРОВАННЫЙ	1086	2	2F	239		2
ЭФИР ВИНИЛМЕТИЛОВЫЙ СТАБИЛИЗИРОВАННЫЙ	1087	2	2F	239		2
АЦЕТАЛЬ	1088	3	F1	33	II	2
АЦЕТАЛЬДЕГИД	1089	3	F1	33	I	1
АЦЕТОН	1090	3	F1	33	II	2
МАСЛА АЦЕТОНОВЫЕ	1091	3	F1	33	II	2
АКРОЛЕИН СТАБИЛИЗИРОВАННЫЙ	1092	43106	TF1	663	I	1
АКРИЛОНИТРИЛ СТАБИЛИЗИРОВАННЫЙ	1093	3	FT1	336	I	1
СПИРТ АЛЛИЛОВЫЙ	1098	43106	TF1	663	I	1
АЛЛИЛБРОМИД	1099	3	FT1	336	I	1
АЛЛИЛХЛОРИД	1100	3	FT1	336	I	1
АМИЛАЦЕТАТЫ	1104	3	F1	30	III	3
ПЕНТАНОЛЫ	1105	3	F1	33	II	2
ПЕНТАНОЛЫ	1105	3	F1	30	III	3
АМИЛАМИН	1106	3	FC	338	II	2
АМИЛАМИН	1106	3	FC	38	III	3
АМИЛХЛОРИД	1107	3	F1	33	II	2
1-ПЕНТЕН (н-АМИЛЕН)	1108	3	F1	33	I	1
АМИЛФОРМИАТЫ	1109	3	F1	30	III	3
н-АМИЛМЕТИЛКЕТОН	1110	3	F1	30	III	3
АМИЛМЕРКАПТАН	1111	3	F1	33	II	2
АМИЛНИТРАТ	1112	3	F1	30	III	3
АМИЛНИТРИТ	1113	3	F1	33	II	2
БЕНЗОЛ	1114	3	F1	33	II	2
БУТАНОЛЫ	1120	3	F1	33	II	2
БУТАНОЛЫ	1120	3	F1	30	III	3
БУТИЛАЦЕТАТЫ	1123	3	F1	33	II	2
БУТИЛАЦЕТАТЫ	1123	3	F1	30	III	3
н-БУТИЛАМИН	1125	3	FC	338	II	2
1-БРОМБУТАН	1126	3	F1	33	II	2
ХЛОРБУТАНЫ	1127	3	F1	33	II	2
н-БУТИЛФОРМИАТ	1128	3	F1	33	II	2
БУТИРАЛЬДЕГИД	1129	3	F1	33	II	2
МАСЛО КАМФОРНОЕ	1130	3	F1	30	III	3
СЕРОУГЛЕРОД	1131	3	FT1	336	I	1
